campaign    region  slot_type   slot_template
wh3_main_chaos  wh3_main_chaos_region_krudenwald	secondary	wh_main_human_minor_secondary
wh3_main_chaos	wh3_main_chaos_region_cliff_of_beasts	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_terracotta_graveyard	secondary	wh_main_human_minor_secondary
wh3_main_combi	wh3_main_combi_region_marks_of_the_old_ones	primary	wh_main_human_minor_primary
wh3_main_chaos	wh3_main_chaos_region_nonchang	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_khazid_bordkarag	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_blizzardpeak	secondary	wh_main_human_minor_secondary_salt
wh3_main_combi	wh3_main_combi_region_kunlan	secondary	wh_main_human_major_secondary
wh3_main_combi	wh3_main_combi_region_dragons_crossroad	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_brass_keep	secondary	wh3_dlc20_special_brass_keep_secondary
wh3_main_combi	wh3_main_combi_region_cragroth_deep	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_castle_alexandronov	secondary	wh3_dlc24_special_castle_alexandronov_minor_secondary
wh3_main_combi	wh3_main_combi_region_karak_azgal	primary	wh3_cp1_human_major_primary_karak_azgal
wh3_main_chaos	wh3_main_chaos_region_longship_graveyard	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_temple_of_tlencan	port	wh_main_port
wh3_main_combi	wh3_main_combi_region_li_temple	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_the_palace_of_ruin	primary	wh3_main_special_the_palace_of_ruin_primary
wh3_main_combi	wh3_main_combi_region_karak_hirn	primary	wh_main_human_major_primary
wh3_main_combi	wh3_main_combi_region_tor_dranil	port	wh_main_port
wh3_main_combi	wh3_main_combi_region_blacklight_tower	primary	wh3_dlc27_human_major_primary_port
wh3_main_combi	wh3_main_combi_region_worlds_edge_archway	secondary	wh_main_human_minor_secondary
wh3_main_prologue	wh3_prologue_region_plains_of_brass_the_tah_camp	secondary	wh_main_norsca_major_secondary
wh3_main_combi	wh3_main_combi_region_dai_cheng	port	wh_main_port
wh3_main_chaos	wh3_main_chaos_region_zoishenk	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_praag	secondary	wh3_main_praag_city_secondary
wh3_main_combi	wh3_main_combi_region_miragliano	port	wh_main_port
wh3_main_chaos	wh3_main_chaos_region_glut_port	port	wh_main_port
wh3_main_combi	wh3_main_combi_region_black_tower_of_arkhan	primary	wh_main_human_major_primary
wh3_main_combi	wh3_main_combi_region_isle_of_wights	secondary	wh_main_norsca_minor_secondary
wh3_main_combi	wh3_main_combi_region_karak_azul	secondary	wh_main_special_karak_azul_secondary
wh3_main_combi	wh3_main_combi_region_skrap_towers	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_shrine_of_the_alchemist	secondary	wh_main_human_minor_secondary
wh3_main_combi	wh3_main_combi_region_the_frozen_city	secondary	wh3_dlc20_chaos_dark_fortress_secondary
wh3_main_chaos	wh3_main_chaos_region_osterwald	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_petrified_forest	primary	wh_main_human_minor_primary
wh3_main_chaos	wh3_main_chaos_region_dushyka	primary	wh_main_human_minor_primary
wh3_main_chaos	wh3_main_chaos_region_zhufbar	primary	wh_main_human_major_primary
wh3_main_combi	wh3_main_combi_region_shrine_of_sotek	secondary	wh2_main_special_shrine_of_sotek_secondary
wh3_main_chaos	wh3_main_chaos_region_mount_cragg	primary	wh_main_human_minor_primary
wh3_main_chaos	wh3_main_chaos_region_foul_fortress	primary	wh3_dlc20_chaos_dark_fortress_primary
wh3_main_combi	wh3_main_combi_region_hag_graef	primary	wh2_main_special_hag_graef_primary
wh3_main_combi	wh3_main_combi_region_riffraffa	primary	wh_main_human_minor_primary
wh3_main_chaos	wh3_main_chaos_region_the_tower_of_torment	secondary	wh_main_human_minor_secondary
wh3_main_chaos	wh3_main_chaos_region_winter_pyre	primary	wh_main_human_minor_primary
wh3_main_chaos	wh3_main_chaos_region_dharko_wharf	port	wh_main_port
wh3_main_combi	wh3_main_combi_region_okkams_forever_maze	primary	wh3_dlc20_special_okkams_forever_maze_major_primary
wh3_main_chaos	wh3_main_chaos_region_chasm_of_torment	primary	wh_main_human_minor_primary
wh3_main_chaos	wh3_main_chaos_region_the_gallows_tree	secondary	wh3_dlc20_special_the_gallows_tree_secondary_timber
wh3_main_combi	wh3_main_combi_region_martek	secondary	wh_main_human_minor_secondary_iron
wh3_main_combi	wh3_main_combi_region_dagraks_end	secondary	wh3_dlc20_chaos_dark_fortress_secondary
wh3_main_combi	wh3_main_combi_region_mountain_pass	secondary	wh3_dlc27_special_secondary_mountain_pass
wh3_main_chaos	wh3_main_chaos_region_the_falls_of_doom	secondary	wh_main_human_minor_secondary
wh3_main_combi	wh3_main_combi_region_haichai	port	wh_main_port
wh3_main_chaos	wh3_main_chaos_region_xing_po	secondary	wh3_main_special_xing_po_secondary_gems
wh3_main_combi	wh3_main_combi_region_the_dust_gate	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_karak_kadrin	primary	wh_main_special_karak_kadrin_primary
wh3_main_combi	wh3_main_combi_region_sartosa	port	wh_main_port
wh3_main_combi	wh3_main_combi_region_graeling_moot	primary	wh_main_human_minor_primary
wh3_main_chaos	wh3_main_chaos_region_shattered_stone_bay	secondary	wh_main_human_minor_secondary_timber
wh3_main_combi	wh3_main_combi_region_citadel_of_lead	secondary	wh_main_special_citadel_of_lead_secondary
wh3_main_combi	wh3_main_combi_region_waili_village	secondary	wh_main_human_minor_secondary_salt
wh3_main_chaos	wh3_main_chaos_region_norden	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_fateweavers_crevasse	secondary	wh3_dlc24_special_fateweavers_crevasse_secondary
wh3_main_combi	wh3_main_combi_region_zhanshi	secondary	wh3_cp1_human_major_secondary_zhanshi
wh3_main_combi	wh3_main_combi_region_castle_bastonne	secondary	wh_main_human_major_secondary
wh3_main_combi	wh3_main_combi_region_karak_ungor	secondary	wh_main_special_karak_ungor_secondary
wh3_main_combi	wh3_main_combi_region_hexoatl	primary	wh2_main_special_hexoatl_primary
wh3_main_combi	wh3_main_combi_region_troll_fjord	primary	wh3_dlc27_human_minor_primary_port
wh3_main_combi	wh3_main_combi_region_howling_rock	primary	wh_main_human_minor_primary
wh3_main_chaos	wh3_main_chaos_region_wurtbad	secondary	wh_main_human_major_secondary_wine
wh3_main_combi	wh3_main_combi_region_fyrus	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_varenka_hills	secondary	wh_main_human_minor_secondary_furs
wh3_main_combi	wh3_main_combi_region_the_haunted_forest	secondary	wh3_main_combi_the_haunted_forest_secondary
wh3_main_combi	wh3_main_combi_region_bhagar	primary	wh2_dlc09_special_bhagar_primary
wh3_main_chaos	wh3_main_chaos_region_blood_mountain	primary	wh3_main_special_blood_mountain_minor_primary
wh3_main_combi	wh3_main_combi_region_venom_glade	secondary	wh_main_human_minor_secondary_furs
wh3_main_combi	wh3_main_combi_region_deaths_head_monoliths	secondary	wh_main_human_minor_secondary
wh3_main_chaos	wh3_dlc20_chaos_region_citadel_of_lead	primary	wh3_dlc20_special_citadel_of_lead_major_primary
wh3_main_prologue	wh3_prologue_region_crimson_vale_hall_of_the_keepers	primary	wh3_main_prologue_dervingard_primary
wh3_main_chaos	wh3_main_chaos_region_the_daemons_stump	secondary	wh3_dlc23_special_daemons_stump_secondary
wh3_main_combi	wh3_main_combi_region_altar_of_facades	secondary	wh_main_human_minor_secondary
wh3_main_combi	wh3_main_combi_region_shattered_stone_isle	port	wh_main_port
wh3_main_combi	wh3_main_combi_region_nan_li	secondary	wh_main_human_minor_secondary
wh3_main_chaos	wh3_main_chaos_region_xing_po	primary	wh3_main_special_xing_po_minor_primary
wh3_main_chaos	wh3_main_chaos_region_frozen_landing	primary	wh3_dlc20_special_frozen_landing_major_primary
wh3_main_combi	wh3_main_combi_region_rotten_stone	secondary	wh3_dlc27_rotten_stone_secondary
wh3_main_combi	wh3_main_combi_region_gateway_to_khuresh	secondary	wh3_cp1_human_major_secondary_gateway_to_khuresh
wh3_main_combi	wh3_main_combi_region_gronti_mingol	primary	wh2_main_special_elven_colony_minor_primary
wh3_main_combi	wh3_main_combi_region_shard_bastion	primary	wh_main_human_minor_primary
wh3_main_chaos	wh3_main_chaos_region_kurak_peak	secondary	wh_main_human_minor_secondary
wh3_main_chaos	wh3_main_chaos_region_blood_mountain	secondary	wh3_main_special_blood_mountain_secondary_iron
wh3_main_combi	wh3_main_combi_region_grimtop	secondary	wh3_dlc27_special_secondary_grimtop
wh3_main_combi	wh3_main_combi_region_al_haikk	port	wh_main_port
wh3_main_chaos	wh3_main_chaos_region_waldenhof	secondary	wh_main_human_minor_secondary
wh3_main_combi	wh3_main_combi_region_fortress_of_eyes	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_ming_zhu	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_po_mei	primary	wh_main_human_major_primary
wh3_main_chaos	wh3_dlc20_chaos_region_fort_sollace	port	wh_main_port
wh3_main_combi	wh3_main_combi_region_the_high_sentinel	port	wh_main_port
wh3_main_combi	wh3_main_combi_region_middenheim	primary	wh_main_special_middenheim_primary
wh3_main_combi	wh3_main_combi_region_krugenheim	primary	wh_main_human_minor_primary
wh3_main_chaos	wh3_main_chaos_region_stormvrack_mount	secondary	wh_main_human_minor_secondary
wh3_main_chaos	wh3_main_chaos_region_yetchitch	secondary	wh_main_human_minor_secondary
wh3_main_combi	wh3_main_combi_region_the_sacred_pools	primary	wh_main_special_waterfall_palace_primary
wh3_main_combi	wh3_main_combi_region_flayed_rock	primary	wh_main_human_major_primary
wh3_main_combi	wh3_main_combi_region_forest_of_arnheim	primary	wh_main_human_minor_primary
wh3_main_chaos	wh3_main_chaos_region_shambletown	secondary	wh_main_human_minor_secondary_pastures
wh3_main_chaos	wh3_main_chaos_region_mount_grimfang	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_couronne	secondary	wh_main_special_couronne_secondary
wh3_main_combi	wh3_main_combi_region_luccini	port	wh_main_port
wh3_main_combi	wh3_main_combi_region_statues_of_the_gods	secondary	wh_main_dwarf_orc_minor_secondary_savage
wh3_main_combi	wh3_main_combi_region_chupayotl	port	wh_main_port
wh3_main_combi	wh3_main_combi_region_the_high_place	secondary	wh_main_human_minor_secondary
wh3_main_chaos	wh3_main_chaos_region_karak_krakaten	secondary	wh3_main_human_minor_secondary_ivory
wh3_main_combi	wh3_main_combi_region_the_bone_gulch	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_hualotal	secondary	wh_main_human_major_secondary
wh3_main_combi	wh3_main_combi_region_shrine_of_khaine	primary	wh2_main_special_shrine_of_khaine_primary
wh3_main_combi	wh3_main_combi_region_igerov	secondary	wh_main_human_minor_secondary
wh3_main_combi	wh3_main_combi_region_black_crag	primary	wh_main_special_black_crag_primary
wh3_main_combi	wh3_main_combi_region_dragon_fang_mount	primary	wh3_main_special_dragon_fang_mount_primary
wh3_main_combi	wh3_main_combi_region_evershale	port	wh_main_port
wh3_main_combi	wh3_main_combi_region_great_desert_of_araby	secondary	wh3_main_special_the_great_desert_secondary
wh3_main_combi	wh3_main_combi_region_hell_pit	primary	wh2_main_special_hellpit_primary
wh3_main_combi	wh3_main_combi_region_quetza	primary	wh2_main_special_quetza_primary
wh3_main_combi	wh3_main_combi_region_scarpels_lair	secondary	wh2_main_human_minor_secondary_animals
wh3_main_combi	wh3_main_combi_region_agrul_migdhal	secondary	wh_main_dwarf_orc_minor_secondary_savage
wh3_main_combi	wh3_main_combi_region_cliff_of_beasts	secondary	wh3_dlc27_special_secondary_cliff_of_beasts
wh3_main_combi	wh3_main_combi_region_silver_pinnacle	secondary	wh3_dlc25_special_silver_pinnacle_secondary
wh3_main_combi	wh3_main_combi_region_elisia	primary	wh3_dlc27_human_minor_primary_port
wh3_main_combi	wh3_main_combi_region_cairn_thel	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_nahuontl	primary	wh3_dlc27_human_minor_primary_port
wh3_main_combi	wh3_main_combi_region_worlds_edge_archway	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_stormhenge	primary	wh3_dlc26_special_stormhenge_primary
wh3_main_combi	wh3_main_combi_region_the_awakening	port	wh_main_port
wh3_main_combi	wh3_main_combi_region_dawns_light	secondary	wh_main_human_minor_secondary
wh3_main_combi	wh3_main_combi_region_marienburg	primary	wh_main_special_marienburg_primary
wh3_main_combi	wh3_main_combi_region_swamp_town	primary	wh3_dlc27_human_minor_primary_port
wh3_main_chaos	wh3_main_chaos_region_novchozy	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_the_star_tower	primary	wh2_main_special_elven_colony_major_primary
wh3_main_combi	wh3_main_combi_region_mount_thug	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_yuatek	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_arnheim	secondary	wh3_dlc27_special_arnheim_secondary
wh3_main_chaos	wh3_main_chaos_region_fort_bergbres	primary	wh_main_human_minor_primary
wh3_main_chaos	wh3_main_chaos_region_palace_of_princes	primary	wh_main_human_minor_primary
wh3_main_chaos	wh3_dlc20_chaos_region_citadel_of_lead	secondary	wh3_dlc20_special_citadel_of_lead_major_secondary
wh3_main_chaos	wh3_main_chaos_region_wolfenburg	primary	wh_main_human_major_primary
wh3_main_combi	wh3_main_combi_region_numas	primary	wh2_dlc09_special_numas_primary
wh3_main_combi	wh3_main_combi_region_altdorf	secondary	wh_main_special_altdorf_secondary
wh3_main_chaos	wh3_main_chaos_region_sabre_mountain	secondary	wh_main_human_minor_secondary
wh3_main_chaos	wh3_main_chaos_region_the_silver_pinnacle	secondary	wh3_dlc25_special_silver_pinnacle_secondary
wh3_main_chaos	wh3_main_chaos_region_icedrake_fjord	port	wh_main_port
wh3_main_chaos	wh3_main_chaos_region_zanbaijin	secondary	wh_main_human_minor_secondary
wh3_main_combi	wh3_main_combi_region_nagrar	secondary	wh_main_human_minor_secondary_timber
wh3_main_combi	wh3_main_combi_region_fortress_of_the_damned	port	wh_main_port
wh3_main_combi	wh3_main_combi_region_monolith_of_flesh	secondary	wh_main_norsca_minor_secondary_obsidian
wh3_main_combi	wh3_main_combi_region_ssildra_tor	secondary	wh_main_human_minor_secondary_wine
wh3_main_combi	wh3_main_combi_region_bloodwind_keep	primary	wh3_dlc20_special_zerulous_major_primary
wh3_main_combi	wh3_main_combi_region_fort_straghov	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_foundry_of_bones	secondary	wh_main_human_minor_secondary
wh3_main_chaos	wh3_main_chaos_region_dragon_gate	secondary	wh3_main_cth_bastion_secondary
wh3_main_combi	wh3_main_combi_region_castle_templehof	secondary	wh_main_human_major_secondary_timber
wh3_main_chaos	wh3_main_chaos_region_qiang	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_shi_wu	primary	wh3_cp1_human_major_primary_shi_wu
wh3_main_chaos	wh3_main_chaos_region_serpent_jetty	secondary	wh_main_human_minor_secondary
wh3_main_combi	wh3_main_combi_region_longship_graveyard	primary	wh3_dlc27_human_minor_primary_port
wh3_main_chaos	wh3_main_chaos_region_the_fortress_of_vorag	secondary	wh_dlc15_special_plain_of_bones_fortress_of_vorag_secondary_major
wh3_main_chaos	wh3_main_chaos_region_sepukzy	secondary	wh_main_human_minor_secondary
wh3_main_chaos	wh3_main_chaos_region_great_hall_of_greasus	secondary	wh3_main_special_great_hall_of_greasus_secondary_gold
wh3_main_combi	wh3_main_combi_region_plain_of_tuskers	port	wh_main_port
wh3_main_chaos	wh3_main_chaos_region_zamoski	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_plain_of_spiders	secondary	wh2_main_human_minor_secondary_obsidian
wh3_main_combi	wh3_main_combi_region_gorssel	secondary	wh_main_human_minor_secondary_salt
wh3_main_chaos	wh3_main_chaos_region_snake_gate	primary	wh3_main_cth_bastion_primary
wh3_main_combi	wh3_main_combi_region_ruins_end	secondary	wh_main_human_minor_secondary
wh3_main_combi	wh3_main_combi_region_karak_azgaraz	secondary	wh_main_human_minor_secondary
wh3_main_combi	wh3_main_combi_region_mount_squighorn	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_the_forbidden_citadel	secondary	wh3_dlc20_special_the_forbidden_citadel_secondary_iron
wh3_main_chaos	wh3_main_chaos_region_village_of_the_tigermen	secondary	wh2_main_human_major_secondary_medicine
wh3_main_combi	wh3_main_combi_region_fuming_serpent	primary	wh3_dlc27_human_minor_primary_port
wh3_main_chaos	wh3_main_chaos_region_karak_vlag	primary	wh_main_human_major_primary
wh3_main_combi	wh3_main_combi_region_chimai	primary	wh3_dlc27_human_minor_primary_port
wh3_main_combi	wh3_main_combi_region_weismund	secondary	wh_main_human_minor_secondary_timber
wh3_main_combi	wh3_main_combi_region_eilhart	secondary	wh_main_human_minor_secondary
wh3_main_combi	wh3_main_combi_region_kaiax	secondary	wh_main_human_major_secondary
wh3_main_combi	wh3_main_combi_region_the_skull_carvers_abode	secondary	wh_main_human_minor_secondary_gold
wh3_main_combi	wh3_main_combi_region_mount_squighorn	secondary	wh_main_human_minor_secondary
wh3_main_combi	wh3_main_combi_region_village_of_the_tigermen	secondary	wh3_cp1_human_minor_secondary_medicine_village_of_the_tigermen
wh3_main_combi	wh3_main_combi_region_the_blighted_grove	secondary	wh3_dlc27_special_secondary_the_blighted_grove
wh3_main_chaos	wh3_main_chaos_region_shang_wu	primary	wh_main_human_major_primary
wh3_main_combi	wh3_main_combi_region_karak_eight_peaks	secondary	wh_main_special_eight_peaks_secondary
wh3_main_combi	wh3_main_combi_region_darkhold	secondary	wh_main_human_minor_secondary
wh3_main_combi	wh3_main_combi_region_the_writhing_fortress	secondary	wh3_dlc20_combi_special_the_writhing_fortress_secondary
wh3_main_combi	wh3_main_combi_region_sunken_khernarch	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_great_skull_lakes	primary	wh3_main_special_great_skull_lakes_primary
wh3_main_combi	wh3_main_combi_region_the_monolith_of_katam	primary	wh3_dlc20_chaos_dark_fortress_primary
wh3_main_combi	wh3_main_combi_region_oyxl	primary	wh2_main_special_oyxl_primary
wh3_main_chaos	wh3_main_chaos_region_the_shifting_monolith	secondary	wh3_dlc20_special_the_shifting_monolith_secondary_gold
wh3_main_combi	wh3_main_combi_region_ironspike	secondary	wh_main_human_minor_secondary_iron
wh3_main_prologue	wh3_prologue_region_river_of_the_flux_the_fording_place	secondary	wh3_main_prologue_dervingard_secondary
wh3_main_combi	wh3_main_combi_region_longship_graveyard	port	wh_main_norsca_port
wh3_main_combi	wh3_main_combi_region_jade_wind_mountain	secondary	wh3_dlc26_special_jade_wind_mountain_secondary
wh3_main_combi	wh3_main_combi_region_wissenburg	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_mount_gunbad	primary	wh_main_special_mount_gunbad_primary
wh3_main_combi	wh3_main_combi_region_nuja	port	wh_main_port
wh3_main_combi	wh3_main_combi_region_lost_plateau	secondary	wh_main_human_minor_secondary
wh3_main_combi	wh3_main_combi_region_karak_azgal	secondary	wh_main_special_karak_azgal_secondary
wh3_main_combi	wh3_main_combi_region_southern_outpost	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_shang_yang	secondary	wh3_main_special_shang_yang_secondary_spices
wh3_main_combi	wh3_main_combi_region_plain_of_tuskers	primary	wh3_dlc27_human_minor_primary_port
wh3_main_chaos	wh3_main_chaos_region_marienburg	secondary	wh_main_special_marienburg_secondary
wh3_main_combi	wh3_main_combi_region_temple_of_khaine	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_tobaro	primary	wh3_dlc27_human_minor_primary_port
wh3_main_combi	wh3_main_combi_region_the_folly_of_malofex	secondary	wh2_main_human_minor_secondary_medicine
wh3_main_combi	wh3_main_combi_region_dai_cheng	primary	wh3_dlc27_human_minor_primary_port
wh3_main_combi	wh3_main_combi_region_tor_dranil	primary	wh3_dlc27_human_minor_primary_port
wh3_main_chaos	wh3_main_chaos_region_troll_fjord	port	wh_main_port
wh3_main_combi	wh3_main_combi_region_rasetra	secondary	wh_main_human_minor_secondary
wh3_main_combi	wh3_main_combi_region_oakenhammer	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_fu_chow	port	wh_dlc24_special_fu_chow_port
wh3_main_combi	wh3_main_combi_region_macu_peaks	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_stonemine_tower	secondary	wh_main_human_minor_secondary
wh3_main_combi	wh3_main_combi_region_the_forest_of_decay	secondary	wh3_dlc27_special_secondary_the_forest_of_decay
wh3_main_chaos	wh3_main_chaos_region_palace_of_princes	secondary	wh3_main_special_palace_of_princes_secondary
wh3_main_chaos	wh3_main_chaos_region_city_of_the_shugengan	primary	wh_main_human_minor_primary
wh3_main_chaos	wh3_main_chaos_region_bolgasgrad	secondary	wh_main_human_minor_secondary
wh3_main_combi	wh3_main_combi_region_temple_of_kara	port	wh_main_port
wh3_main_combi	wh3_main_combi_region_the_monolith_of_katam	port	wh_main_port
wh3_main_combi	wh3_main_combi_region_vauls_anvil_ulthuan	primary	wh2_main_special_hef_vauls_anvil_primary
wh3_main_combi	wh3_main_combi_region_tor_achare	primary	wh2_main_special_tor_achare_primary
wh3_main_chaos	wh3_main_chaos_region_kraka_drak	primary	wh2_main_special_kraka_drak_primary
wh3_main_chaos	wh3_main_chaos_region_pigbarter	secondary	wh2_main_human_minor_secondary_spices
wh3_main_chaos	wh3_main_chaos_region_crookback_mountain	secondary	wh_main_human_major_secondary_iron
wh3_main_combi	wh3_dlc20_combi_region_glacial_gardens	secondary	wh_main_human_minor_secondary
wh3_main_chaos	wh3_dlc20_chaos_region_neuland	port	wh_main_port
wh3_main_chaos	wh3_main_chaos_region_the_tower_of_khrakk	secondary	wh_main_human_minor_secondary
wh3_main_combi	wh3_main_combi_region_tower_of_the_sun	primary	wh2_main_special_elven_colony_major_primary
wh3_main_combi	wh3_main_combi_region_chill_road	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_karag_dromar	secondary	wh_main_special_karag_dromar_secondary
wh3_main_combi	wh3_main_combi_region_castle_artois	primary	wh_main_human_major_primary
wh3_main_combi	wh3_main_combi_region_altdorf	port	wh_main_port
wh3_main_combi	wh3_main_combi_region_spektazuma	primary	wh_main_human_major_primary
wh3_main_combi	wh3_main_combi_region_tor_elasor	secondary	wh3_dlc27_special_tor_elasor_secondary
wh3_main_combi	wh3_main_combi_region_the_folly_of_malofex	primary	wh3_dlc27_human_minor_primary_port
wh3_main_combi	wh3_main_combi_region_tobaro	secondary	wh_main_special_tobaro_secondary
wh3_main_combi	wh3_main_combi_region_kings_glade	primary	wh_main_special_yn_edryl_korian_primary
wh3_main_combi	wh3_main_combi_region_eagle_gate	primary	wh2_main_special_fortress_gate_eagle_primary
wh3_main_combi	wh3_main_combi_region_serpent_jetty	secondary	wh_main_norsca_minor_secondary
wh3_main_combi	wh3_main_combi_region_cairn_thel	secondary	wh_main_human_minor_secondary_dyes
wh3_main_chaos	wh3_main_chaos_region_mount_grey_hag	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_quittax	primary	wh_main_human_minor_primary
wh3_main_chaos	wh3_main_chaos_region_icespewer	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_tralinia	primary	wh3_dlc27_human_minor_primary_port
wh3_main_combi	wh3_main_combi_region_fort_bergbres	primary	wh2_main_special_empire_fort_primary
wh3_main_chaos	wh3_main_chaos_region_uzkulak	primary	wh3_dlc23_special_uzkulak_primary
wh3_main_combi	wh3_main_combi_region_storag_kor	secondary	wh_main_human_minor_secondary
wh3_main_combi	wh3_main_combi_region_bay_of_blades	port	wh_main_port
wh3_main_combi	wh3_main_combi_region_el_kalabad	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_wreckers_point	port	wh_main_port
wh3_main_combi	wh3_main_combi_region_temple_of_kara	secondary	wh_main_human_minor_secondary
wh3_main_combi	wh3_main_combi_region_tor_surpindar	secondary	wh_main_human_minor_secondary
wh3_main_combi	wh3_main_combi_region_zlatlan	primary	wh3_dlc27_human_major_primary_port
wh3_main_combi	wh3_main_combi_region_mahrak	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_crucible_of_delights	secondary	wh_main_human_minor_secondary_marble
wh3_main_combi	wh3_main_combi_region_dragonhorn_mines	secondary	wh3_dlc27_special_secondary_dragonhorn_mines
wh3_main_chaos	wh3_main_chaos_region_granite_spikes	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_port_of_secrets	port	wh_main_port
wh3_main_combi	wh3_main_combi_region_helmgart	primary	wh2_main_special_empire_fort_primary
wh3_main_chaos	wh3_main_chaos_region_fortress_of_eyes	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_black_fang	primary	wh_main_human_minor_primary
wh3_main_chaos	wh3_main_chaos_region_hellcade_drove	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_quenelles	secondary	wh_main_human_minor_secondary_pastures
wh3_main_combi	wh3_main_combi_region_ubersreik	secondary	wh_main_special_ubersreik_secondary
wh3_main_combi	wh3_main_combi_region_shroktak_mount	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_whitepeak	port	wh_main_port
wh3_main_combi	wh3_main_combi_region_nuja	secondary	wh2_main_human_minor_secondary_spices
wh3_main_combi	wh3_main_combi_region_mount_arachnos	secondary	wh2_dlc15_special_mount_arachnos_secondary
wh3_main_combi	wh3_main_combi_region_stonemine_tower	port	wh_main_port
wh3_main_combi	wh3_main_combi_region_zlatlan	secondary	wh2_main_human_major_secondary_gems
wh3_main_combi	wh3_main_combi_region_the_tower_of_khrakk	primary	wh3_dlc20_special_tower_of_khrakk_major_primary
wh3_main_combi	wh3_main_combi_region_temple_of_heimkel	port	wh_main_norsca_port
wh3_main_chaos	wh3_main_chaos_region_dragon_fang_mount	port	wh_main_port
wh3_main_combi	wh3_main_combi_region_the_black_pit	primary	wh_main_human_major_primary
wh3_main_combi	wh3_main_combi_region_the_twisted_glade	primary	wh3_dlc27_human_major_primary_port
wh3_main_combi	wh3_main_combi_region_karaz_a_karak	secondary	wh_main_special_karaz_a_karak_secondary
wh3_main_combi	wh3_main_combi_region_kaiax	port	wh_main_port
wh3_main_chaos	wh3_main_chaos_region_kusel	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_dlc23_combi_region_blasted_expanse	primary	wh_main_human_minor_primary
wh3_main_combi	wh3_main_combi_region_mount_thug	secondary	wh3_cp1_human_minor_secondary_mount_thug
wh3_main_combi	wh3_main_combi_region_the_gallows_tree	secondary	wh3_dlc25_special_the_gallows_tree_secondary_timber
wh3_main_chaos	wh3_main_chaos_region_fort_dolganyeir	secondary	wh3_dlc24_special_dolganyeir_secondary
wh3_main_chaos	wh3_main_chaos_region_the_tower_of_gorgoth	secondary	wh3_main_special_tower_of_gorgoth_secondary
wh3_main_combi	wh3_main_combi_region_dietershafen	primary	wh3_dlc27_human_minor_primary_port
wh3_main_chaos	wh3_main_chaos_region_karak_azgaraz	secondary	wh_main_human_minor_secondary
wh3_main_chaos	wh3_main_chaos_region_kislev	primary	wh3_main_kislev_city_primary
wh3_main_chaos	wh3_main_chaos_region_bay_of_blades	primary	wh_main_human_minor_primary
